Account ID,Company Name,Industry,Domain,Region,Employee Count,Annual Revenue,NAICS Code,Industry Name
d5f63c80,Wilson-Walker,Deploy,smith.com,Oregon,469,234000000,519190,All Other Information Services
266f1336,Tyler and Sons,Scale,clark.com,Alaska,722,323000000,541511,Custom Computer Programming Services
a2e45781,"Tyler, Armstrong and Roberts",Monetize,aguilar-larson.com,Pennsylvania,393,221000000,541618,Other Management Consulting Services
2402171d,Jackson Ltd,Productize,williams-williams.com,Minnesota,241,410000000,541519,Other Computer Related Services
52bb94b0,Haley-Joyce,Incubate,zimmerman.biz,Virginia,110,101000000,541511,Custom Computer Programming Services
05eb364b,Garcia Ltd,Envisioneer,bender.org,South Carolina,804,266000000,541910,Marketing Research and Public Opinion Polling
d5bf26cf,Palmer-Powers,Aggregate,little-hunt.org,Michigan,694,196000000,541513,Computer Facilities Management Services
c813638c,Reid LLC,Engineer,simpson.com,Virginia,361,355000000,541910,Marketing Research and Public Opinion Polling
55248935,Roberts-Rodriguez,Grow,porter.com,Indiana,791,118000000,541910,Marketing Research and Public Opinion Polling
4b907b98,Humphrey Ltd,Engineer,booth.net,Colorado,534,262000000,519190,All Other Information Services
502f01e9,Schwartz-Rodriguez,Benchmark,smith.com,Iowa,75,218000000,541513,Computer Facilities Management Services
243f3f59,Lopez-Stanley,Incubate,wright.com,West Virginia,917,431000000,541910,Marketing Research and Public Opinion Polling
53a5fb50,Kennedy-Montoya,Streamline,flowers.info,New Mexico,441,226000000,541618,Other Management Consulting Services
c51acfb5,Logan Inc,Empower,jones.com,Rhode Island,971,165000000,541513,Computer Facilities Management Services
89f875b3,Patrick LLC,Syndicate,mitchell.info,Oregon,932,468000000,541519,Other Computer Related Services
6459acc5,"Cooper, Bass and Jones",Redefine,todd.com,Ohio,561,221000000,541513,Computer Facilities Management Services
b5cf5068,Walter-Roberts,Transform,powell-williams.org,Iowa,175,245000000,541512,Computer Systems Design Services
21c1e518,"Dean, Bennett and Solis",Evolve,davis.net,Kentucky,958,445000000,541511,Custom Computer Programming Services
beeebc7f,Robertson Ltd,Streamline,benson.com,Nevada,851,272000000,518210,"Data Processing, Hosting, and Related Services"
996b7a74,Smith-Allen,Seize,garner.com,Wyoming,597,382000000,541519,Other Computer Related Services
d36e7822,Martin-Ballard,Exploit,bryant.net,New Mexico,798,270000000,541910,Marketing Research and Public Opinion Polling
1244f342,"Brooks, Nelson and Calhoun",Embrace,gregory-wood.com,Texas,639,333000000,541513,Computer Facilities Management Services
7a916faf,"Klein, Wright and Olson",Incentivize,randall.com,Delaware,935,238000000,511210,Software Publishers
d615a8e1,Nguyen-Barry,Enable,clarke.org,Pennsylvania,594,321000000,541618,Other Management Consulting Services
a139b76e,Johnson-Morales,Seize,moore-deleon.net,Tennessee,95,280000000,541513,Computer Facilities Management Services
3cc129fe,Clark Group,Transition,chandler.org,Florida,350,56000000,541611,Administrative Management and General Consulting Services
93d154dc,Cooper and Sons,Innovate,alexander-costa.biz,Tennessee,634,77000000,519190,All Other Information Services
ea4ba26d,Jones-West,E-enable,scott.com,Alabama,824,363000000,511210,Software Publishers
605e2246,Small Group,Aggregate,scott.org,Alabama,134,460000000,541618,Other Management Consulting Services
5bdaa52a,"Marquez, Lin and Clark",Revolutionize,donovan-moore.org,Michigan,245,373000000,541611,Administrative Management and General Consulting Services
e17b5956,Dickerson-Medina,Optimize,brown.org,West Virginia,831,394000000,541513,Computer Facilities Management Services
c6b2fb5d,Rojas-Rodriguez,Enhance,sandoval-arroyo.com,Wisconsin,876,55000000,541511,Custom Computer Programming Services
1e95bd67,Cooper Inc,Incubate,payne.com,South Carolina,458,216000000,518210,"Data Processing, Hosting, and Related Services"
414d05bb,Pearson Group,Mesh,kline.net,Montana,707,445000000,518210,"Data Processing, Hosting, and Related Services"
c632e010,Johnson PLC,Enhance,franklin.com,Louisiana,218,319000000,541511,Custom Computer Programming Services
7b187336,"Anderson, Landry and Hurley",Facilitate,gibson-hunt.com,Vermont,576,324000000,511210,Software Publishers
cf011c78,Morales LLC,Morph,baker.com,Ohio,525,196000000,541618,Other Management Consulting Services
05619ba9,Andrews-Shields,Mesh,martin.com,Oklahoma,321,207000000,541511,Custom Computer Programming Services
765c11ea,Richards-Chung,Target,krause-ruiz.com,Maryland,904,471000000,541519,Other Computer Related Services
463cf4c1,Howard Group,Revolutionize,morris.org,Florida,738,262000000,541611,Administrative Management and General Consulting Services
ccf52f19,Montgomery-Caldwell,Re-intermediate,drake.biz,Delaware,225,223000000,541910,Marketing Research and Public Opinion Polling
ca0d82dc,Aguilar-Mendoza,Evolve,scott.com,Maryland,411,16000000,541618,Other Management Consulting Services
390fd2e4,Green Group,Drive,gibson.com,Oregon,496,392000000,541512,Computer Systems Design Services
9f0846d2,Hebert PLC,Productize,jennings-adams.net,Florida,119,494000000,541519,Other Computer Related Services
07f2ba50,Burton-Rowe,Integrate,ward.com,Illinois,923,402000000,541611,Administrative Management and General Consulting Services
d71aa8c5,Soto Inc,E-enable,frost-krueger.org,Connecticut,633,51000000,518210,"Data Processing, Hosting, and Related Services"
9090a1cc,Perez-Anderson,Productize,lynch.biz,Oregon,191,222000000,541611,Administrative Management and General Consulting Services
c9816db8,Rogers-Wilson,Benchmark,garcia-chung.com,New Mexico,442,148000000,541519,Other Computer Related Services
66ff51ff,Dalton-Williams,Deliver,alexander.biz,Iowa,616,411000000,541618,Other Management Consulting Services
fe506cce,"Garcia, Hayden and Johnson",Architect,howard.net,Oklahoma,897,342000000,511210,Software Publishers
ce08752d,Wise Inc,Maximize,burton-woods.com,Massachusetts,593,498000000,541618,Other Management Consulting Services
3db36c8c,Simmons-White,Seize,wheeler.com,Arkansas,646,149000000,541910,Marketing Research and Public Opinion Polling
f87a2032,Cross Group,Facilitate,young.org,Wyoming,831,206000000,541511,Custom Computer Programming Services
8c1f39a6,Davis-Scott,Cultivate,sanford.org,West Virginia,662,161000000,519190,All Other Information Services
f063249c,Clark Group,Envisioneer,ferrell-rocha.com,Massachusetts,432,143000000,541910,Marketing Research and Public Opinion Polling
8036786c,"Neal, Lopez and Graham",Re-intermediate,franklin.biz,South Carolina,60,428000000,541512,Computer Systems Design Services
771c2f7d,Jackson-Peters,Disintermediate,taylor-garcia.biz,Kentucky,558,447000000,541513,Computer Facilities Management Services
cc929459,"Montoya, Jones and Hardin",Synthesize,white-white.net,Oregon,69,294000000,518210,"Data Processing, Hosting, and Related Services"
419cc460,Allen Ltd,Facilitate,weeks.com,Nevada,943,370000000,541611,Administrative Management and General Consulting Services
e2d3f376,Mitchell-Sherman,Deliver,ramos-wong.com,Alaska,194,315000000,519190,All Other Information Services
2f68c51a,Ward PLC,Aggregate,james-berry.com,North Dakota,851,89000000,541511,Custom Computer Programming Services
1f146396,Lawson Ltd,Grow,mcintosh.com,Louisiana,517,440000000,518210,"Data Processing, Hosting, and Related Services"
7020d61a,Rivera-Ho,Streamline,peterson.com,Michigan,773,344000000,541611,Administrative Management and General Consulting Services
1bb260a7,Brown Group,Re-contextualize,harrison-garcia.com,Alaska,535,9000000,511210,Software Publishers
4364c9df,"Martinez, Jones and Carlson",Visualize,andrews-glover.com,Massachusetts,419,375000000,541910,Marketing Research and Public Opinion Polling
5f7ad646,"May, Robinson and Nelson",Grow,jones.com,Hawaii,313,67000000,518210,"Data Processing, Hosting, and Related Services"
1d0c7c85,Sawyer-Bautista,Iterate,montgomery-graves.com,Indiana,782,385000000,541511,Custom Computer Programming Services
c9fc19d8,Vasquez PLC,Orchestrate,hall.org,New Mexico,330,457000000,518210,"Data Processing, Hosting, and Related Services"
2ed53960,Vazquez Group,Generate,vang.com,Minnesota,674,129000000,519190,All Other Information Services
80cd6fc0,"George, James and Martin",Evolve,williams.org,Indiana,542,391000000,518210,"Data Processing, Hosting, and Related Services"
53daa83b,Stewart PLC,Brand,keller-moore.info,Ohio,880,352000000,541511,Custom Computer Programming Services
850cc279,Jordan-Ibarra,Reinvent,lewis.com,Iowa,276,377000000,541512,Computer Systems Design Services
b4d7fe27,Gibson-Ward,Matrix,ferguson.com,Rhode Island,570,422000000,541618,Other Management Consulting Services
6bb6c52b,Garrett Ltd,Evolve,woodard.com,Rhode Island,192,260000000,541611,Administrative Management and General Consulting Services
5713da92,"House, Strickland and Luna",Generate,gonzalez.com,Vermont,301,413000000,518210,"Data Processing, Hosting, and Related Services"
7628e15b,"Carter, Tran and West",Mesh,olsen-kirby.com,North Dakota,97,164000000,541618,Other Management Consulting Services
04c11650,"Gonzalez, Sanchez and Walker",E-enable,garcia-ramos.com,Oregon,436,378000000,541512,Computer Systems Design Services
37fe6cc3,Ellis and Sons,Envisioneer,vazquez-parker.com,Vermont,668,57000000,541512,Computer Systems Design Services
6.18E+14,"Richard, Johnson and Watkins",E-enable,vaughn.com,Ohio,674,247000000,541512,Computer Systems Design Services
14da604a,Smith and Sons,Transform,may-wilson.biz,South Carolina,734,458000000,541618,Other Management Consulting Services
2cef0b8d,Weber-Navarro,Engineer,todd.biz,Hawaii,779,37000000,541512,Computer Systems Design Services
9d638f26,May-Boone,Engage,graham.com,California,489,370000000,541611,Administrative Management and General Consulting Services
542213b3,Klein PLC,Synergize,brown-barker.com,Connecticut,93,183000000,541910,Marketing Research and Public Opinion Polling
a5f973bc,Richardson PLC,Empower,clark.com,Minnesota,643,308000000,541618,Other Management Consulting Services
8c131147,"Humphrey, Kelly and Martinez",Redefine,noble.biz,Pennsylvania,592,277000000,519190,All Other Information Services
32e80b2d,Andrews-Sanchez,Transition,carter-bullock.com,South Carolina,470,295000000,541519,Other Computer Related Services
08663cd1,"Mendoza, Rush and Williams",Evolve,perkins.com,Oklahoma,928,80000000,541618,Other Management Consulting Services
538dc7f3,Ray-Weber,Architect,may.com,Colorado,754,279000000,518210,"Data Processing, Hosting, and Related Services"
e2d78717,"Nelson, Martinez and Smith",Cultivate,king-ellis.info,New Jersey,139,5000000,518210,"Data Processing, Hosting, and Related Services"
943b878e,Cardenas and Sons,Envisioneer,miller-thompson.com,Oklahoma,703,134000000,541519,Other Computer Related Services
0aba4c25,"Harrington, Mendez and King",Streamline,lewis.net,Arizona,329,498000000,541519,Other Computer Related Services
d4eb1654,Chaney Inc,Visualize,smith-edwards.com,South Dakota,661,5000000,541511,Custom Computer Programming Services
c972f155,"Ellis, Dickerson and Zavala",E-enable,coffey.org,Tennessee,768,176000000,541512,Computer Systems Design Services
f7dc6c56,Chapman-Johnson,Unleash,martin-skinner.com,Montana,274,41000000,541611,Administrative Management and General Consulting Services
1f7170c8,"Benitez, Bond and Brown",Evolve,ford.biz,Pennsylvania,627,297000000,541513,Computer Facilities Management Services
9335e808,Torres LLC,Deliver,vazquez.biz,South Dakota,199,192000000,511210,Software Publishers
b5fc6a43,"Valencia, Patel and Evans",Benchmark,brown.com,Idaho,81,26000000,541511,Custom Computer Programming Services
d3b5de30,"Wright, Garcia and Briggs",Disintermediate,fleming-edwards.net,Missouri,288,239000000,541910,Marketing Research and Public Opinion Polling
a4e0c0a8,Foster LLC,Engage,garcia-washington.biz,Kansas,246,136000000,511210,Software Publishers
5.70E+07,"Ortiz, Abbott and Goodwin",Enable,harris.com,Virginia,758,403000000,541513,Computer Facilities Management Services
c70ca7a8,Pitts Ltd,Mesh,cole.com,Missouri,388,71000000,541519,Other Computer Related Services
f0c16bcc,Bartlett-Bell,Streamline,warren.org,Tennessee,783,67000000,519190,All Other Information Services
