Contact ID,Account ID,Previous Stage,New Funnel Stage,Stage Entered Date,Stage Exit Date,Opportunity ID
85393135,72309ff6,Subscriber,SQL,2025-02-24,2025-03-08,
85393135,72309ff6,SQL,MQL,2025-03-25,2025-04-03,
bb69ed3e,00fc5842,Subscriber,Opportunity,2025-01-15,2025-03-01,
bb69ed3e,00fc5842,Opportunity,Lead,2025-03-25,2025-04-22,
9e1cedac,605fcb86,Subscriber,Opportunity,2025-04-13,2025-04-19,
9e1cedac,605fcb86,Opportunity,Lead,2025-04-22,2025-05-03,
9e1cedac,605fcb86,Lead,MQL,2025-05-03,2025-05-03,
9e1cedac,605fcb86,MQL,Closed Lost,2025-05-04,2025-05-04,
9e1cedac,605fcb86,Closed Lost,SQL,2025-05-04,2025-05-04,
38dd67bb,2ab2e0ac,Subscriber,MQL,2025-03-20,2025-04-16,
38dd67bb,2ab2e0ac,MQL,Closed Lost,2025-04-24,2025-04-30,
38dd67bb,2ab2e0ac,Closed Lost,Customer,2025-05-02,2025-05-03,
38dd67bb,2ab2e0ac,Customer,Lead,2025-05-05,2025-05-05,
38dd67bb,2ab2e0ac,Lead,Opportunity,2025-05-05,2025-05-05,
79609223,f8939521,Subscriber,MQL,2025-03-22,2025-03-30,
79609223,f8939521,MQL,Customer,2025-04-29,2025-05-02,
808d9200,c4f4cb36,Subscriber,Lead,2025-03-21,2025-04-05,
808d9200,c4f4cb36,Lead,MQL,2025-04-06,2025-04-30,
808d9200,c4f4cb36,MQL,Closed Lost,2025-05-03,2025-05-05,
808d9200,c4f4cb36,Closed Lost,SQL,2025-05-05,2025-05-05,
808d9200,c4f4cb36,SQL,Opportunity,2025-05-05,2025-05-05,
cb0b456c,b894d93c,Subscriber,MQL,2025-03-17,2025-05-04,
cb0b456c,b894d93c,MQL,Opportunity,2025-05-05,2025-05-05,
cb0b456c,b894d93c,Opportunity,Closed Lost,2025-05-05,2025-05-05,
d3584211,5b4963ff,Subscriber,Customer,2025-03-17,2025-04-03,
d3584211,5b4963ff,Customer,Opportunity,2025-04-24,2025-04-26,
d3584211,5b4963ff,Opportunity,MQL,2025-05-05,2025-05-05,
d3584211,5b4963ff,MQL,Closed Lost,2025-05-05,2025-05-05,
c27cd00e,136bc7ad,Subscriber,Closed Lost,2025-03-20,2025-05-01,
c27cd00e,136bc7ad,Closed Lost,Opportunity,2025-05-03,2025-05-03,
c27cd00e,136bc7ad,Opportunity,Lead,2025-05-04,2025-05-05,
c27cd00e,136bc7ad,Lead,Customer,2025-05-05,2025-05-05,
bda2ca21,8c98370f,Subscriber,Customer,2025-01-29,2025-04-10,
bda2ca21,8c98370f,Customer,Closed Lost,2025-04-26,2025-05-02,
bda2ca21,8c98370f,Closed Lost,SQL,2025-05-03,2025-05-04,
179f2c4e,1eced82a,Subscriber,Closed Lost,2025-02-20,2025-03-07,
179f2c4e,1eced82a,Closed Lost,MQL,2025-03-10,2025-03-18,
179f2c4e,1eced82a,MQL,SQL,2025-04-09,2025-04-18,
179f2c4e,1eced82a,SQL,Customer,2025-05-01,2025-05-02,
abb92908,8543337e,Subscriber,Opportunity,2024-12-30,2025-03-13,
abb92908,8543337e,Opportunity,MQL,2025-04-04,2025-04-22,
abb92908,8543337e,MQL,Customer,2025-05-05,2025-05-05,
abb92908,8543337e,Customer,Lead,2025-05-05,2025-05-05,
abb92908,8543337e,Lead,Closed Lost,2025-05-05,2025-05-05,
3cf99a66,236bfc48,Subscriber,Closed Lost,2024-12-12,2025-04-28,
3cf99a66,236bfc48,Closed Lost,SQL,2025-05-01,2025-05-05,
3cf99a66,236bfc48,SQL,MQL,2025-05-05,2025-05-05,
3cf99a66,236bfc48,MQL,Customer,2025-05-05,2025-05-05,
35c3c639,a41bbad5,Subscriber,Opportunity,2025-04-21,2025-05-04,
35c3c639,a41bbad5,Opportunity,Customer,2025-05-04,2025-05-05,
35c3c639,a41bbad5,Customer,Lead,2025-05-05,2025-05-05,
223de94d,f82af4a8,Subscriber,Opportunity,2025-01-22,2025-03-11,
223de94d,f82af4a8,Opportunity,Lead,2025-05-01,2025-05-03,
bfa60be8,83b6be8d,Subscriber,Lead,2025-02-12,2025-04-13,
bfa60be8,83b6be8d,Lead,Customer,2025-04-17,2025-04-23,
bfa60be8,83b6be8d,Customer,Closed Lost,2025-05-04,2025-05-05,
bfa60be8,83b6be8d,Closed Lost,SQL,2025-05-05,2025-05-05,
d0ecafe9,e3ae18f5,Subscriber,Closed Lost,2024-12-15,2025-03-17,
d0ecafe9,e3ae18f5,Closed Lost,Customer,2025-04-11,2025-04-21,
d0ecafe9,e3ae18f5,Customer,Lead,2025-04-30,2025-04-30,
d0ecafe9,e3ae18f5,Lead,Opportunity,2025-05-05,2025-05-05,
a0d39f98,3f4774b3,Subscriber,Customer,2025-02-25,2025-04-03,
a0d39f98,3f4774b3,Customer,Lead,2025-04-18,2025-04-20,
a0d39f98,3f4774b3,Lead,SQL,2025-05-01,2025-05-03,
a0d39f98,3f4774b3,SQL,Opportunity,2025-05-05,2025-05-05,
a0d39f98,3f4774b3,Opportunity,Closed Lost,2025-05-05,2025-05-05,
27df796f,9cebe7f9,Subscriber,Customer,2025-02-24,2025-03-30,
27df796f,9cebe7f9,Customer,Opportunity,2025-05-03,2025-05-05,
27df796f,9cebe7f9,Opportunity,Lead,2025-05-05,2025-05-05,
27df796f,9cebe7f9,Lead,Closed Lost,2025-05-05,2025-05-05,
18da099f,2e7749ba,Subscriber,Customer,2025-02-25,2025-04-25,
18da099f,2e7749ba,Customer,MQL,2025-04-28,2025-05-03,
18da099f,2e7749ba,MQL,Closed Lost,2025-05-05,2025-05-05,
c8d521ef,79045df3,Subscriber,Lead,2025-03-30,2025-04-24,
c8d521ef,79045df3,Lead,SQL,2025-05-01,2025-05-04,
3f2cc15e,3388b25b,Subscriber,Customer,2025-01-19,2025-01-30,
3f2cc15e,3388b25b,Customer,Closed Lost,2025-03-02,2025-03-25,
3f2cc15e,3388b25b,Closed Lost,SQL,2025-04-10,2025-05-05,
